NOMBRE_COMUNA_EGRESO;IPS;PROMEDIO_COMUNA_gral;PROMEDIO_COMUNA_NOTA
ÑUÑOA;30.63;649.45;649.45
SANTIAGO;55.33;624.4029776312128;624.4029776312128
SAN MIGUEL;50.33;595.4831571449484;595.4831571449484
MACUL;44.36;608.2714876930069;608.2714876930069
QUILICURA;55.19;609.7735264710526;609.7735264710526
SAN JOAQUIN;72.02;547.9491990497713;547.9491990497713
LO ESPEJO;87.0;422.0;422.0
ESTACION CENTRAL;70.92;587.533069048852;587.533069048852
PUENTE ALTO;61.46;602.2232623969811;602.2232623969811
PEDRO AGUIRRE CERDA;76.22;574.5442884817227;574.5442884817227
PEÑALOLEN;57.84;632.8758112922765;632.8758112922765
PROVIDENCIA;20.18;624.5;624.5
EL BOSQUE;74.05;599.1940570878678;599.1940570878678
COLINA;51.58;635.5330981950916;635.5330981950916
RECOLETA;71.92;585.8792115005382;585.8792115005382
MAIPU;57.25;618.7648786409871;618.7648786409871
LAS CONDES;13.19;588.73;588.73
CONCHALI;73.65;562.808320268757;562.808320268757
CERRILLOS;65.71;589.2062235294118;589.2062235294118
MELIPILLA;77.05;585.4232598431;585.4232598431
LA FLORIDA;57.81;619.440559154999;619.440559154999
LA PINTANA;89.36;371.0;371.0
PADRE HURTADO;63.25;580.5114475873544;580.5114475873544
CERRO NAVIA;85.74;583.15;583.15
LA CISTERNA;60.61;585.489104130024;585.489104130024
LA GRANJA;72.69;580.3066724436742;580.3066724436742
TALAGANTE;63.76;602.1178611735659;602.1178611735659
LAS CONDES;13.19;617.22;617.22
LO ESPEJO;87.0;578.89;578.89
LA PINTANA;89.36;489.5;489.5
LA REINA;32.42;325.0;325.0
LO ESPEJO;87.0;421.5;421.5
LO BARNECHEA;24.97;484.5;484.5
CERRO NAVIA;85.74;584.27;584.27
LO PRADO;69.36;567.1920744680851;567.1920744680851
SAN RAMON;80.61;570.0843684210527;570.0843684210527
PEÑAFLOR;61.73;572.7205718663878;572.7205718663878
LA PINTANA;89.36;481.0;481.0
ÑUÑOA;30.63;577.0;577.0
QUINTA NORMAL;68.44;577.0964427106404;577.0964427106404
LA PINTANA;89.36;595.92;595.92
LO BARNECHEA;24.97;402.73;402.73
INDEPENDENCIA;64.49;583.9053651669637;583.9053651669637
ISLA DE MAIPO;73.35;563.9252898550725;563.9252898550725
LA PINTANA;89.36;577.13;577.13
ÑUÑOA;30.63;766.5;766.5
LO BARNECHEA;24.97;657.0;657.0
LA PINTANA;89.36;340.0;340.0
LAS CONDES;13.19;625.55;625.55
CALERA DE TANGO;58.99;623.8580304172247;623.8580304172247
RENCA;72.73;582.6704593313715;582.6704593313715
SAN BERNARDO;70.66;592.7249671792287;592.7249671792287
LAS CONDES;13.19;624.72;624.72
LA PINTANA;89.36;422.5;422.5
VITACURA;3.32;891.5;891.5
PUDAHUEL;65.62;587.5667768615443;587.5667768615443
PROVIDENCIA;20.18;746.0;746.0
PROVIDENCIA;20.18;632.0;632.0
LA REINA;32.42;575.54;575.54
LA PINTANA;89.36;453.5;453.5
LO BARNECHEA;24.97;406.0;406.0
LA PINTANA;89.36;475.5;475.5
ÑUÑOA;30.63;506.0;506.0
CURACAVI;67.2;567.8196159503038;567.8196159503038
CERRO NAVIA;85.74;476.0;476.0
CERRO NAVIA;85.74;581.78;581.78
BUIN;65.43;594.9002501576537;594.9002501576537
LA PINTANA;89.36;576.55;576.55
HUECHURABA;52.32;652.2124383630576;652.2124383630576
VITACURA;3.32;593.76;593.76
LA PINTANA;89.36;428.0;428.0
LA PINTANA;89.36;399.0;399.0
LO ESPEJO;87.0;411.0;411.0
CERRO NAVIA;85.74;378.5;378.5
LA PINTANA;89.36;581.72;581.72
LO BARNECHEA;24.97;639.5;639.5
LO ESPEJO;87.0;565.71;565.71
LO ESPEJO;87.0;571.34;571.34
PIRQUE;60.64;584.5008462410437;584.5008462410437
LO ESPEJO;87.0;576.72;576.72
LAS CONDES;13.19;373.21;373.21
LAMPA;63.54;574.729591466248;574.729591466248
LA REINA;32.42;347.5;347.5
PROVIDENCIA;20.18;433.5;433.5
LA REINA;32.42;580.58;580.58
PROVIDENCIA;20.18;549.5;549.5
CERRO NAVIA;85.74;584.13;584.13
CERRO NAVIA;85.74;580.0;580.0
LA PINTANA;89.36;576.83;576.83
LA PINTANA;89.36;553.5;553.5
LAS CONDES;13.19;717.41;717.41
LA REINA;32.42;523.5;523.5
LO ESPEJO;87.0;484.5;484.5
LA REINA;32.42;927.0;927.0
LO ESPEJO;87.0;482.5;482.5
LA PINTANA;89.36;449.0;449.0
SAN JOSE DE MAIPO;72.81;561.5717355371901;561.5717355371901
EL MONTE;77.53;531.0136140344172;531.0136140344172
LAS CONDES;13.19;690.23;690.23
PROVIDENCIA;20.18;600.4;600.4
PROVIDENCIA;20.18;651.98;651.98
LO ESPEJO;87.0;433.0;433.0
LO ESPEJO;87.0;437.5;437.5
PROVIDENCIA;20.18;590.8;590.8
TILTIL;68.38;544.5262290701011;544.5262290701011
LA PINTANA;89.36;436.5;436.5
ÑUÑOA;30.63;488.0;488.0
LA PINTANA;89.36;427.0;427.0
LO ESPEJO;87.0;423.5;423.5
ÑUÑOA;30.63;565.0;565.0
LA PINTANA;89.36;585.5;585.5
LO ESPEJO;87.0;598.0;598.0
PROVIDENCIA;20.18;590.02;590.02
LO ESPEJO;87.0;488.5;488.5
LA REINA;32.42;402.0;402.0
PROVIDENCIA;20.18;556.0;556.0
LO BARNECHEA;24.97;547.5;547.5
VITACURA;3.32;586.04;586.04
LO ESPEJO;87.0;376.5;376.5
LAS CONDES;13.19;631.02;631.02
LA PINTANA;89.36;339.0;339.0
LA REINA;32.42;585.79;585.79
PROVIDENCIA;20.18;499.5;499.5
PROVIDENCIA;20.18;602.41;602.41
LO ESPEJO;87.0;436.0;436.0
PAINE;69.43;589.6381781200479;589.6381781200479
PROVIDENCIA;20.18;617.75;617.75
LO BARNECHEA;24.97;696.71;696.71
CERRO NAVIA;85.74;390.0;390.0
